"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.54918224037E-001, +0.00000000000E+000
+4.20200000000E+005, +5.56746158045E-001, +0.00000000000E+000
+4.20400000000E+005, +5.57299853912E-001, +0.00000000000E+000
+4.20600000000E+005, +5.58315237977E-001, +0.00000000000E+000
+4.20800000000E+005, +5.58046653344E-001, +0.00000000000E+000
+4.21000000000E+005, +5.58347274642E-001, +0.00000000000E+000
+4.21200000000E+005, +5.58836727474E-001, +0.00000000000E+000
+4.21400000000E+005, +5.58086848006E-001, +0.00000000000E+000
+4.21600000000E+005, +5.59139125943E-001, +0.00000000000E+000
+4.21800000000E+005, +5.59267263912E-001, +0.00000000000E+000
+4.22000000000E+005, +5.59167254771E-001, +0.00000000000E+000
+4.22200000000E+005, +5.58889869548E-001, +0.00000000000E+000
+4.22400000000E+005, +5.59340807179E-001, +0.00000000000E+000
+4.22600000000E+005, +5.60133242908E-001, +0.00000000000E+000
+4.22800000000E+005, +5.60026001048E-001, +0.00000000000E+000
+4.23000000000E+005, +5.60606592598E-001, +0.00000000000E+000
+4.23200000000E+005, +5.60134450212E-001, +0.00000000000E+000
+4.23400000000E+005, +5.60447238402E-001, +0.00000000000E+000
+4.23600000000E+005, +5.60925549993E-001, +0.00000000000E+000
+4.23800000000E+005, +5.60614404064E-001, +0.00000000000E+000
+4.24000000000E+005, +5.61004894833E-001, +0.00000000000E+000
+4.24200000000E+005, +5.61560363619E-001, +0.00000000000E+000
+4.24400000000E+005, +5.61443049338E-001, +0.00000000000E+000
+4.24600000000E+005, +5.61699137948E-001, +0.00000000000E+000
+4.24800000000E+005, +5.61836649811E-001, +0.00000000000E+000
+4.25000000000E+005, +5.61584130120E-001, +0.00000000000E+000
+4.25200000000E+005, +5.62664151168E-001, +0.00000000000E+000
+4.25400000000E+005, +5.62815332198E-001, +0.00000000000E+000
+4.25600000000E+005, +5.62744641567E-001, +0.00000000000E+000
+4.25800000000E+005, +5.62795727305E-001, +0.00000000000E+000
+4.26000000000E+005, +5.63168966331E-001, +0.00000000000E+000
+4.26200000000E+005, +5.63523417204E-001, +0.00000000000E+000
+4.26400000000E+005, +5.63368921674E-001, +0.00000000000E+000
+4.26600000000E+005, +5.64184494634E-001, +0.00000000000E+000
+4.26800000000E+005, +5.64608501133E-001, +0.00000000000E+000
+4.27000000000E+005, +5.64433715648E-001, +0.00000000000E+000
+4.27200000000E+005, +5.64509392288E-001, +0.00000000000E+000
+4.27400000000E+005, +5.64473662586E-001, +0.00000000000E+000
+4.27600000000E+005, +5.64193551351E-001, +0.00000000000E+000
+4.27800000000E+005, +5.64622521201E-001, +0.00000000000E+000
+4.28000000000E+005, +5.65500825766E-001, +0.00000000000E+000
+4.28200000000E+005, +5.65243717532E-001, +0.00000000000E+000
+4.28400000000E+005, +5.65350914783E-001, +0.00000000000E+000
+4.28600000000E+005, +5.65952086799E-001, +0.00000000000E+000
+4.28800000000E+005, +5.65748668759E-001, +0.00000000000E+000
+4.29000000000E+005, +5.65863430294E-001, +0.00000000000E+000
+4.29200000000E+005, +5.66747666261E-001, +0.00000000000E+000
+4.29400000000E+005, +5.66319868786E-001, +0.00000000000E+000
+4.29600000000E+005, +5.66487582025E-001, +0.00000000000E+000
+4.29800000000E+005, +5.66717206005E-001, +0.00000000000E+000
+4.30000000000E+005, +5.67030710904E-001, +0.00000000000E+000
+4.30200000000E+005, +5.66945000014E-001, +0.00000000000E+000
+4.30400000000E+005, +5.67498174225E-001, +0.00000000000E+000
+4.30600000000E+005, +5.67194793627E-001, +0.00000000000E+000
+4.30800000000E+005, +5.67275749455E-001, +0.00000000000E+000
+4.31000000000E+005, +5.68152172020E-001, +0.00000000000E+000
+4.31200000000E+005, +5.68165265197E-001, +0.00000000000E+000
+4.31400000000E+005, +5.67642598993E-001, +0.00000000000E+000
+4.31600000000E+005, +5.67560788533E-001, +0.00000000000E+000
+4.31800000000E+005, +5.67884283604E-001, +0.00000000000E+000
+4.32000000000E+005, +5.68098440695E-001, +0.00000000000E+000
+4.32200000000E+005, +5.68195095831E-001, +0.00000000000E+000
+4.32400000000E+005, +5.68135876970E-001, +0.00000000000E+000
+4.32600000000E+005, +5.68052916560E-001, +0.00000000000E+000
+4.32800000000E+005, +5.68073228905E-001, +0.00000000000E+000
+4.33000000000E+005, +5.67907945177E-001, +0.00000000000E+000
+4.33200000000E+005, +5.67672264221E-001, +0.00000000000E+000
+4.33400000000E+005, +5.67271973317E-001, +0.00000000000E+000
+4.33600000000E+005, +5.67698120594E-001, +0.00000000000E+000
+4.33800000000E+005, +5.67448856726E-001, +0.00000000000E+000
+4.34000000000E+005, +5.67090604466E-001, +0.00000000000E+000
+4.34200000000E+005, +5.66335544691E-001, +0.00000000000E+000
+4.34400000000E+005, +5.66476636496E-001, +0.00000000000E+000
+4.34600000000E+005, +5.65409227048E-001, +0.00000000000E+000
+4.34800000000E+005, +5.65075021311E-001, +0.00000000000E+000
+4.35000000000E+005, +5.63911600604E-001, +0.00000000000E+000
+4.35200000000E+005, +5.63070015640E-001, +0.00000000000E+000
+4.35400000000E+005, +5.62694898414E-001, +0.00000000000E+000
+4.35600000000E+005, +5.60770839705E-001, +0.00000000000E+000
+4.35800000000E+005, +5.59756312340E-001, +0.00000000000E+000
+4.36000000000E+005, +5.57736902935E-001, +0.00000000000E+000
+4.36200000000E+005, +5.55819688634E-001, +0.00000000000E+000
+4.36400000000E+005, +5.53602946833E-001, +0.00000000000E+000
+4.36600000000E+005, +5.50602248521E-001, +0.00000000000E+000
+4.36800000000E+005, +5.48307954713E-001, +0.00000000000E+000
+4.37000000000E+005, +5.44688002141E-001, +0.00000000000E+000
+4.37200000000E+005, +5.40787382986E-001, +0.00000000000E+000
+4.37400000000E+005, +5.37249323667E-001, +0.00000000000E+000
+4.37600000000E+005, +5.33072529399E-001, +0.00000000000E+000
+4.37800000000E+005, +5.28923590209E-001, +0.00000000000E+000
+4.38000000000E+005, +5.23769959943E-001, +0.00000000000E+000
+4.38200000000E+005, +5.19195667132E-001, +0.00000000000E+000
+4.38400000000E+005, +5.14919018532E-001, +0.00000000000E+000
+4.38600000000E+005, +5.10604208119E-001, +0.00000000000E+000
+4.38800000000E+005, +5.07100247191E-001, +0.00000000000E+000
+4.39000000000E+005, +5.04034447588E-001, +0.00000000000E+000
+4.39200000000E+005, +5.01301582442E-001, +0.00000000000E+000
+4.39400000000E+005, +5.00400444497E-001, +0.00000000000E+000
+4.39600000000E+005, +5.00659107285E-001, +0.00000000000E+000
+4.39800000000E+005, +5.01764959463E-001, +0.00000000000E+000
+4.40000000000E+005, +5.03011763780E-001, +0.00000000000E+000
+4.40200000000E+005, +5.06443638867E-001, +0.00000000000E+000
+4.40400000000E+005, +5.09729623013E-001, +0.00000000000E+000
+4.40600000000E+005, +5.13470169612E-001, +0.00000000000E+000
+4.40800000000E+005, +5.16903257159E-001, +0.00000000000E+000
+4.41000000000E+005, +5.20220150038E-001, +0.00000000000E+000
+4.41200000000E+005, +5.23544412101E-001, +0.00000000000E+000
+4.41400000000E+005, +5.26832136419E-001, +0.00000000000E+000
+4.41600000000E+005, +5.29812661245E-001, +0.00000000000E+000
+4.41800000000E+005, +5.32849838834E-001, +0.00000000000E+000
+4.42000000000E+005, +5.35252982753E-001, +0.00000000000E+000
+4.42200000000E+005, +5.36629016258E-001, +0.00000000000E+000
+4.42400000000E+005, +5.39476306973E-001, +0.00000000000E+000
