"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.57352229658E-001, +0.00000000000E+000
+4.20200000000E+005, +5.58914794078E-001, +0.00000000000E+000
+4.20400000000E+005, +5.59253611691E-001, +0.00000000000E+000
+4.20600000000E+005, +5.60603891568E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60505931634E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60598000025E-001, +0.00000000000E+000
+4.21200000000E+005, +5.61084788390E-001, +0.00000000000E+000
+4.21400000000E+005, +5.61370793341E-001, +0.00000000000E+000
+4.21600000000E+005, +5.61199788493E-001, +0.00000000000E+000
+4.21800000000E+005, +5.61546332699E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61545248072E-001, +0.00000000000E+000
+4.22200000000E+005, +5.61857256915E-001, +0.00000000000E+000
+4.22400000000E+005, +5.61690374054E-001, +0.00000000000E+000
+4.22600000000E+005, +5.62547107792E-001, +0.00000000000E+000
+4.22800000000E+005, +5.62397629526E-001, +0.00000000000E+000
+4.23000000000E+005, +5.62671694385E-001, +0.00000000000E+000
+4.23200000000E+005, +5.62919961070E-001, +0.00000000000E+000
+4.23400000000E+005, +5.62928160433E-001, +0.00000000000E+000
+4.23600000000E+005, +5.63306253560E-001, +0.00000000000E+000
+4.23800000000E+005, +5.63442937491E-001, +0.00000000000E+000
+4.24000000000E+005, +5.63752923569E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63797369153E-001, +0.00000000000E+000
+4.24400000000E+005, +5.63684992838E-001, +0.00000000000E+000
+4.24600000000E+005, +5.64548423571E-001, +0.00000000000E+000
+4.24800000000E+005, +5.64362279789E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64827151229E-001, +0.00000000000E+000
+4.25200000000E+005, +5.65065077913E-001, +0.00000000000E+000
+4.25400000000E+005, +5.64958455736E-001, +0.00000000000E+000
+4.25600000000E+005, +5.65507439903E-001, +0.00000000000E+000
+4.25800000000E+005, +5.65362484033E-001, +0.00000000000E+000
+4.26000000000E+005, +5.65100042644E-001, +0.00000000000E+000
+4.26200000000E+005, +5.65799085591E-001, +0.00000000000E+000
+4.26400000000E+005, +5.66344271538E-001, +0.00000000000E+000
+4.26600000000E+005, +5.66335681713E-001, +0.00000000000E+000
+4.26800000000E+005, +5.66318031671E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66860794275E-001, +0.00000000000E+000
+4.27200000000E+005, +5.66871910491E-001, +0.00000000000E+000
+4.27400000000E+005, +5.67218558780E-001, +0.00000000000E+000
+4.27600000000E+005, +5.67674168911E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67250658739E-001, +0.00000000000E+000
+4.28000000000E+005, +5.68096735196E-001, +0.00000000000E+000
+4.28200000000E+005, +5.68307313911E-001, +0.00000000000E+000
+4.28400000000E+005, +5.68430126294E-001, +0.00000000000E+000
+4.28600000000E+005, +5.68732858581E-001, +0.00000000000E+000
+4.28800000000E+005, +5.68265163899E-001, +0.00000000000E+000
+4.29000000000E+005, +5.68806728126E-001, +0.00000000000E+000
+4.29200000000E+005, +5.69066799443E-001, +0.00000000000E+000
+4.29400000000E+005, +5.69824938611E-001, +0.00000000000E+000
+4.29600000000E+005, +5.69000314554E-001, +0.00000000000E+000
+4.29800000000E+005, +5.70410540975E-001, +0.00000000000E+000
+4.30000000000E+005, +5.70027505586E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69879296612E-001, +0.00000000000E+000
+4.30400000000E+005, +5.70102735385E-001, +0.00000000000E+000
+4.30600000000E+005, +5.69987990652E-001, +0.00000000000E+000
+4.30800000000E+005, +5.70236667191E-001, +0.00000000000E+000
+4.31000000000E+005, +5.70573535694E-001, +0.00000000000E+000
+4.31200000000E+005, +5.70059993024E-001, +0.00000000000E+000
+4.31400000000E+005, +5.70714662275E-001, +0.00000000000E+000
+4.31600000000E+005, +5.70885442810E-001, +0.00000000000E+000
+4.31800000000E+005, +5.71641299574E-001, +0.00000000000E+000
+4.32000000000E+005, +5.71017498852E-001, +0.00000000000E+000
+4.32200000000E+005, +5.71394398301E-001, +0.00000000000E+000
+4.32400000000E+005, +5.71187150101E-001, +0.00000000000E+000
+4.32600000000E+005, +5.71441255318E-001, +0.00000000000E+000
+4.32800000000E+005, +5.70718129752E-001, +0.00000000000E+000
+4.33000000000E+005, +5.71113754310E-001, +0.00000000000E+000
+4.33200000000E+005, +5.71485256863E-001, +0.00000000000E+000
+4.33400000000E+005, +5.70906385211E-001, +0.00000000000E+000
+4.33600000000E+005, +5.71145980189E-001, +0.00000000000E+000
+4.33800000000E+005, +5.70534756872E-001, +0.00000000000E+000
+4.34000000000E+005, +5.70113099318E-001, +0.00000000000E+000
+4.34200000000E+005, +5.70272848569E-001, +0.00000000000E+000
+4.34400000000E+005, +5.69560144640E-001, +0.00000000000E+000
+4.34600000000E+005, +5.69318028294E-001, +0.00000000000E+000
+4.34800000000E+005, +5.68559850662E-001, +0.00000000000E+000
+4.35000000000E+005, +5.67778663831E-001, +0.00000000000E+000
+4.35200000000E+005, +5.67438003458E-001, +0.00000000000E+000
+4.35400000000E+005, +5.65601296181E-001, +0.00000000000E+000
+4.35600000000E+005, +5.64993828731E-001, +0.00000000000E+000
+4.35800000000E+005, +5.63664212299E-001, +0.00000000000E+000
+4.36000000000E+005, +5.61651782832E-001, +0.00000000000E+000
+4.36200000000E+005, +5.60689723867E-001, +0.00000000000E+000
+4.36400000000E+005, +5.58577587630E-001, +0.00000000000E+000
+4.36600000000E+005, +5.55887170413E-001, +0.00000000000E+000
+4.36800000000E+005, +5.53017423445E-001, +0.00000000000E+000
+4.37000000000E+005, +5.49852073608E-001, +0.00000000000E+000
+4.37200000000E+005, +5.46219452761E-001, +0.00000000000E+000
+4.37400000000E+005, +5.42448431517E-001, +0.00000000000E+000
+4.37600000000E+005, +5.37972003889E-001, +0.00000000000E+000
+4.37800000000E+005, +5.33473379676E-001, +0.00000000000E+000
+4.38000000000E+005, +5.28064769618E-001, +0.00000000000E+000
+4.38200000000E+005, +5.23282296482E-001, +0.00000000000E+000
+4.38400000000E+005, +5.17722384375E-001, +0.00000000000E+000
+4.38600000000E+005, +5.12411863173E-001, +0.00000000000E+000
+4.38800000000E+005, +5.07511001742E-001, +0.00000000000E+000
+4.39000000000E+005, +5.02449913227E-001, +0.00000000000E+000
+4.39200000000E+005, +4.98367449015E-001, +0.00000000000E+000
+4.39400000000E+005, +4.95469031579E-001, +0.00000000000E+000
+4.39600000000E+005, +4.93575193973E-001, +0.00000000000E+000
+4.39800000000E+005, +4.92823182093E-001, +0.00000000000E+000
+4.40000000000E+005, +4.93114136914E-001, +0.00000000000E+000
+4.40200000000E+005, +4.94102888797E-001, +0.00000000000E+000
+4.40400000000E+005, +4.97188293524E-001, +0.00000000000E+000
+4.40600000000E+005, +4.99684211926E-001, +0.00000000000E+000
+4.40800000000E+005, +5.04033410841E-001, +0.00000000000E+000
+4.41000000000E+005, +5.08268324596E-001, +0.00000000000E+000
+4.41200000000E+005, +5.12241334204E-001, +0.00000000000E+000
+4.41400000000E+005, +5.16736188163E-001, +0.00000000000E+000
+4.41600000000E+005, +5.19691232295E-001, +0.00000000000E+000
+4.41800000000E+005, +5.23390943719E-001, +0.00000000000E+000
+4.42000000000E+005, +5.26627350020E-001, +0.00000000000E+000
+4.42200000000E+005, +5.29388952671E-001, +0.00000000000E+000
+4.42400000000E+005, +5.32635101439E-001, +0.00000000000E+000
+4.42600000000E+005, +5.35057931195E-001, +0.00000000000E+000
+4.42800000000E+005, +5.37010853551E-001, +0.00000000000E+000
+4.43000000000E+005, +5.39385485176E-001, +0.00000000000E+000
+4.43200000000E+005, +5.41105747070E-001, +0.00000000000E+000
+4.43400000000E+005, +5.42557464929E-001, +0.00000000000E+000
+4.43600000000E+005, +5.44592259662E-001, +0.00000000000E+000
+4.43800000000E+005, +5.45888832036E-001, +0.00000000000E+000
+4.44000000000E+005, +5.47682906809E-001, +0.00000000000E+000
+4.44200000000E+005, +5.48920852829E-001, +0.00000000000E+000
+4.44400000000E+005, +5.50159372635E-001, +0.00000000000E+000
+4.44600000000E+005, +5.50780675231E-001, +0.00000000000E+000
+4.44800000000E+005, +5.52418084180E-001, +0.00000000000E+000
+4.45000000000E+005, +5.53462756242E-001, +0.00000000000E+000
+4.45200000000E+005, +5.54829278412E-001, +0.00000000000E+000
+4.45400000000E+005, +5.55697166502E-001, +0.00000000000E+000
+4.45600000000E+005, +5.56037940185E-001, +0.00000000000E+000
+4.45800000000E+005, +5.56977481279E-001, +0.00000000000E+000
+4.46000000000E+005, +5.58573338590E-001, +0.00000000000E+000
+4.46200000000E+005, +5.58596372680E-001, +0.00000000000E+000
+4.46400000000E+005, +5.59926320869E-001, +0.00000000000E+000
+4.46600000000E+005, +5.52285394779E-001, +0.00000000000E+000
+4.46800000000E+005, +5.65064816240E-001, +0.00000000000E+000
+4.47000000000E+005, +5.59567378197E-001, +0.00000000000E+000
+4.47200000000E+005, +5.63063461492E-001, +0.00000000000E+000
+4.47400000000E+005, +5.62549780134E-001, +0.00000000000E+000
+4.47600000000E+005, +5.63798527299E-001, +0.00000000000E+000
+4.47800000000E+005, +5.63461958020E-001, +0.00000000000E+000
+4.48000000000E+005, +5.64444266996E-001, +0.00000000000E+000
+4.48200000000E+005, +5.65271858559E-001, +0.00000000000E+000
+4.48400000000E+005, +5.65344388744E-001, +0.00000000000E+000
+4.48600000000E+005, +5.66163033397E-001, +0.00000000000E+000
+4.48800000000E+005, +5.66232362133E-001, +0.00000000000E+000
+4.49000000000E+005, +5.66825596024E-001, +0.00000000000E+000
+4.49200000000E+005, +5.67365873383E-001, +0.00000000000E+000
+4.49400000000E+005, +5.67920571908E-001, +0.00000000000E+000
+4.49600000000E+005, +5.68195076657E-001, +0.00000000000E+000
+4.49800000000E+005, +5.69063457357E-001, +0.00000000000E+000
+4.50000000000E+005, +5.68960585085E-001, +0.00000000000E+000
+4.50200000000E+005, +5.69791881244E-001, +0.00000000000E+000
+4.50400000000E+005, +5.69971675718E-001, +0.00000000000E+000
+4.50600000000E+005, +5.69953406947E-001, +0.00000000000E+000
+4.50800000000E+005, +5.70074245797E-001, +0.00000000000E+000
+4.51000000000E+005, +5.71380257486E-001, +0.00000000000E+000
+4.51200000000E+005, +5.71530298349E-001, +0.00000000000E+000
+4.51400000000E+005, +5.71637316419E-001, +0.00000000000E+000
+4.51600000000E+005, +5.72160582106E-001, +0.00000000000E+000
+4.51800000000E+005, +5.72380779884E-001, +0.00000000000E+000
+4.52000000000E+005, +5.71633495631E-001, +0.00000000000E+000
+4.52200000000E+005, +5.72359625280E-001, +0.00000000000E+000
+4.52400000000E+005, +5.73871289961E-001, +0.00000000000E+000
+4.52600000000E+005, +5.73648923585E-001, +0.00000000000E+000
+4.52800000000E+005, +5.73710092744E-001, +0.00000000000E+000
+4.53000000000E+005, +5.74255592320E-001, +0.00000000000E+000
+4.53200000000E+005, +5.74526382538E-001, +0.00000000000E+000
+4.53400000000E+005, +5.74376463251E-001, +0.00000000000E+000
+4.53600000000E+005, +5.74903196988E-001, +0.00000000000E+000
+4.53800000000E+005, +5.75142456309E-001, +0.00000000000E+000
+4.54000000000E+005, +5.75222447738E-001, +0.00000000000E+000
+4.54200000000E+005, +5.75492779546E-001, +0.00000000000E+000
+4.54400000000E+005, +5.75533339585E-001, +0.00000000000E+000
+4.54600000000E+005, +5.76121726831E-001, +0.00000000000E+000
+4.54800000000E+005, +5.76652727137E-001, +0.00000000000E+000
+4.55000000000E+005, +5.76586420590E-001, +0.00000000000E+000
