"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.54970736018E-001, +0.00000000000E+000
+4.20200000000E+005, +5.56896833685E-001, +0.00000000000E+000
+4.20400000000E+005, +5.57933493244E-001, +0.00000000000E+000
+4.20600000000E+005, +5.57664479654E-001, +0.00000000000E+000
+4.20800000000E+005, +5.57857171190E-001, +0.00000000000E+000
+4.21000000000E+005, +5.58488658933E-001, +0.00000000000E+000
+4.21200000000E+005, +5.58519394666E-001, +0.00000000000E+000
+4.21400000000E+005, +5.58937820516E-001, +0.00000000000E+000
+4.21600000000E+005, +5.58660768425E-001, +0.00000000000E+000
+4.21800000000E+005, +5.58904269908E-001, +0.00000000000E+000
+4.22000000000E+005, +5.59121222032E-001, +0.00000000000E+000
+4.22200000000E+005, +5.59174963139E-001, +0.00000000000E+000
+4.22400000000E+005, +5.59521878927E-001, +0.00000000000E+000
+4.22600000000E+005, +5.60437035671E-001, +0.00000000000E+000
+4.22800000000E+005, +5.60096062046E-001, +0.00000000000E+000
+4.23000000000E+005, +5.60730076581E-001, +0.00000000000E+000
+4.23200000000E+005, +5.60656960241E-001, +0.00000000000E+000
+4.23400000000E+005, +5.61322287029E-001, +0.00000000000E+000
+4.23600000000E+005, +5.60443683537E-001, +0.00000000000E+000
+4.23800000000E+005, +5.60637270008E-001, +0.00000000000E+000
+4.24000000000E+005, +5.61316961705E-001, +0.00000000000E+000
+4.24200000000E+005, +5.61499687564E-001, +0.00000000000E+000
+4.24400000000E+005, +5.61707299988E-001, +0.00000000000E+000
+4.24600000000E+005, +5.61104933845E-001, +0.00000000000E+000
+4.24800000000E+005, +5.62125191625E-001, +0.00000000000E+000
+4.25000000000E+005, +5.62486917980E-001, +0.00000000000E+000
+4.25200000000E+005, +5.62378686170E-001, +0.00000000000E+000
+4.25400000000E+005, +5.61982382636E-001, +0.00000000000E+000
+4.25600000000E+005, +5.62122548118E-001, +0.00000000000E+000
+4.25800000000E+005, +5.62946138632E-001, +0.00000000000E+000
+4.26000000000E+005, +5.63147155753E-001, +0.00000000000E+000
+4.26200000000E+005, +5.63501498749E-001, +0.00000000000E+000
+4.26400000000E+005, +5.63846851191E-001, +0.00000000000E+000
+4.26600000000E+005, +5.63758764206E-001, +0.00000000000E+000
+4.26800000000E+005, +5.64055119339E-001, +0.00000000000E+000
+4.27000000000E+005, +5.64700025026E-001, +0.00000000000E+000
+4.27200000000E+005, +5.64647843763E-001, +0.00000000000E+000
+4.27400000000E+005, +5.64225286450E-001, +0.00000000000E+000
+4.27600000000E+005, +5.65064800456E-001, +0.00000000000E+000
+4.27800000000E+005, +5.64894928144E-001, +0.00000000000E+000
+4.28000000000E+005, +5.65490526169E-001, +0.00000000000E+000
+4.28200000000E+005, +5.65972374136E-001, +0.00000000000E+000
+4.28400000000E+005, +5.65901809334E-001, +0.00000000000E+000
+4.28600000000E+005, +5.66187141515E-001, +0.00000000000E+000
+4.28800000000E+005, +5.66020346077E-001, +0.00000000000E+000
+4.29000000000E+005, +5.66118275241E-001, +0.00000000000E+000
+4.29200000000E+005, +5.66043501002E-001, +0.00000000000E+000
+4.29400000000E+005, +5.66606936571E-001, +0.00000000000E+000
+4.29600000000E+005, +5.66555517236E-001, +0.00000000000E+000
+4.29800000000E+005, +5.66791788511E-001, +0.00000000000E+000
+4.30000000000E+005, +5.66957326507E-001, +0.00000000000E+000
+4.30200000000E+005, +5.67149969640E-001, +0.00000000000E+000
+4.30400000000E+005, +5.67423623530E-001, +0.00000000000E+000
+4.30600000000E+005, +5.67642765329E-001, +0.00000000000E+000
+4.30800000000E+005, +5.67898393334E-001, +0.00000000000E+000
+4.31000000000E+005, +5.67658376271E-001, +0.00000000000E+000
+4.31200000000E+005, +5.67792183397E-001, +0.00000000000E+000
+4.31400000000E+005, +5.67765052215E-001, +0.00000000000E+000
+4.31600000000E+005, +5.67480394061E-001, +0.00000000000E+000
+4.31800000000E+005, +5.68467784983E-001, +0.00000000000E+000
+4.32000000000E+005, +5.67730912633E-001, +0.00000000000E+000
+4.32200000000E+005, +5.68656889792E-001, +0.00000000000E+000
+4.32400000000E+005, +5.68358387390E-001, +0.00000000000E+000
+4.32600000000E+005, +5.68213054952E-001, +0.00000000000E+000
+4.32800000000E+005, +5.68541187167E-001, +0.00000000000E+000
+4.33000000000E+005, +5.68089181238E-001, +0.00000000000E+000
+4.33200000000E+005, +5.68032434949E-001, +0.00000000000E+000
+4.33400000000E+005, +5.68222798555E-001, +0.00000000000E+000
+4.33600000000E+005, +5.67318868697E-001, +0.00000000000E+000
+4.33800000000E+005, +5.67514127019E-001, +0.00000000000E+000
+4.34000000000E+005, +5.67075047566E-001, +0.00000000000E+000
+4.34200000000E+005, +5.66942938383E-001, +0.00000000000E+000
+4.34400000000E+005, +5.66434060930E-001, +0.00000000000E+000
+4.34600000000E+005, +5.65603445155E-001, +0.00000000000E+000
+4.34800000000E+005, +5.64670044123E-001, +0.00000000000E+000
+4.35000000000E+005, +5.64053577866E-001, +0.00000000000E+000
+4.35200000000E+005, +5.62969689656E-001, +0.00000000000E+000
+4.35400000000E+005, +5.61559962028E-001, +0.00000000000E+000
+4.35600000000E+005, +5.60617757246E-001, +0.00000000000E+000
+4.35800000000E+005, +5.58679976608E-001, +0.00000000000E+000
+4.36000000000E+005, +5.57469273037E-001, +0.00000000000E+000
+4.36200000000E+005, +5.55568484119E-001, +0.00000000000E+000
+4.36400000000E+005, +5.52962623077E-001, +0.00000000000E+000
+4.36600000000E+005, +5.50398656972E-001, +0.00000000000E+000
+4.36800000000E+005, +5.47147826270E-001, +0.00000000000E+000
+4.37000000000E+005, +5.44425208392E-001, +0.00000000000E+000
+4.37200000000E+005, +5.40459287806E-001, +0.00000000000E+000
+4.37400000000E+005, +5.36625783569E-001, +0.00000000000E+000
+4.37600000000E+005, +5.32536168082E-001, +0.00000000000E+000
+4.37800000000E+005, +5.28229447756E-001, +0.00000000000E+000
+4.38000000000E+005, +5.23071662024E-001, +0.00000000000E+000
+4.38200000000E+005, +5.18684621253E-001, +0.00000000000E+000
+4.38400000000E+005, +5.14655608539E-001, +0.00000000000E+000
+4.38600000000E+005, +5.10739338363E-001, +0.00000000000E+000
+4.38800000000E+005, +5.06679662545E-001, +0.00000000000E+000
+4.39000000000E+005, +5.03840803009E-001, +0.00000000000E+000
+4.39200000000E+005, +5.01871616764E-001, +0.00000000000E+000
+4.39400000000E+005, +5.01663605201E-001, +0.00000000000E+000
+4.39600000000E+005, +5.01654841214E-001, +0.00000000000E+000
+4.39800000000E+005, +5.02680857910E-001, +0.00000000000E+000
+4.40000000000E+005, +5.05107404976E-001, +0.00000000000E+000
+4.40200000000E+005, +5.07277876103E-001, +0.00000000000E+000
+4.40400000000E+005, +5.10348753904E-001, +0.00000000000E+000
+4.40600000000E+005, +5.14159906461E-001, +0.00000000000E+000
+4.40800000000E+005, +5.17946364560E-001, +0.00000000000E+000
+4.41000000000E+005, +5.21505574660E-001, +0.00000000000E+000
+4.41200000000E+005, +5.24697218179E-001, +0.00000000000E+000
+4.41400000000E+005, +5.27743330908E-001, +0.00000000000E+000
+4.41600000000E+005, +5.29652056288E-001, +0.00000000000E+000
+4.41800000000E+005, +5.33119232944E-001, +0.00000000000E+000
