"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.57775140870E-001, +0.00000000000E+000
+4.20200000000E+005, +5.59345270717E-001, +0.00000000000E+000
+4.20400000000E+005, +5.60128174713E-001, +0.00000000000E+000
+4.20600000000E+005, +5.60015949123E-001, +0.00000000000E+000
+4.20800000000E+005, +5.59775032432E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60234318187E-001, +0.00000000000E+000
+4.21200000000E+005, +5.60589655659E-001, +0.00000000000E+000
+4.21400000000E+005, +5.60363642665E-001, +0.00000000000E+000
+4.21600000000E+005, +5.60584473207E-001, +0.00000000000E+000
+4.21800000000E+005, +5.60708652058E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61097037189E-001, +0.00000000000E+000
+4.22200000000E+005, +5.61443824809E-001, +0.00000000000E+000
+4.22400000000E+005, +5.61603642428E-001, +0.00000000000E+000
+4.22600000000E+005, +5.61960726485E-001, +0.00000000000E+000
+4.22800000000E+005, +5.61967490087E-001, +0.00000000000E+000
+4.23000000000E+005, +5.62045447539E-001, +0.00000000000E+000
+4.23200000000E+005, +5.62398177180E-001, +0.00000000000E+000
+4.23400000000E+005, +5.62503033640E-001, +0.00000000000E+000
+4.23600000000E+005, +5.62743084562E-001, +0.00000000000E+000
+4.23800000000E+005, +5.62469025263E-001, +0.00000000000E+000
+4.24000000000E+005, +5.63159727826E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63304152790E-001, +0.00000000000E+000
+4.24400000000E+005, +5.64152043357E-001, +0.00000000000E+000
+4.24600000000E+005, +5.63608977887E-001, +0.00000000000E+000
+4.24800000000E+005, +5.63834829403E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64408075410E-001, +0.00000000000E+000
+4.25200000000E+005, +5.64404631913E-001, +0.00000000000E+000
+4.25400000000E+005, +5.64779391517E-001, +0.00000000000E+000
+4.25600000000E+005, +5.64218409123E-001, +0.00000000000E+000
+4.25800000000E+005, +5.64891832594E-001, +0.00000000000E+000
+4.26000000000E+005, +5.64696401188E-001, +0.00000000000E+000
+4.26200000000E+005, +5.65431172933E-001, +0.00000000000E+000
+4.26400000000E+005, +5.65130612794E-001, +0.00000000000E+000
+4.26600000000E+005, +5.66062049126E-001, +0.00000000000E+000
+4.26800000000E+005, +5.65948408914E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66417605404E-001, +0.00000000000E+000
+4.27200000000E+005, +5.66511971739E-001, +0.00000000000E+000
+4.27400000000E+005, +5.66649524288E-001, +0.00000000000E+000
+4.27600000000E+005, +5.67166765944E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67190634289E-001, +0.00000000000E+000
+4.28000000000E+005, +5.66929580190E-001, +0.00000000000E+000
+4.28200000000E+005, +5.67208691801E-001, +0.00000000000E+000
+4.28400000000E+005, +5.67796533515E-001, +0.00000000000E+000
+4.28600000000E+005, +5.67775878997E-001, +0.00000000000E+000
+4.28800000000E+005, +5.67985294883E-001, +0.00000000000E+000
+4.29000000000E+005, +5.68206495016E-001, +0.00000000000E+000
+4.29200000000E+005, +5.68405018797E-001, +0.00000000000E+000
+4.29400000000E+005, +5.68611056446E-001, +0.00000000000E+000
+4.29600000000E+005, +5.68873912994E-001, +0.00000000000E+000
+4.29800000000E+005, +5.69300554955E-001, +0.00000000000E+000
+4.30000000000E+005, +5.69468887293E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69021210752E-001, +0.00000000000E+000
