group;time;shift_value;shift_std
C;5;-3.1874560603755526;4.303417017681851
C;10;-4.67549038992729;4.69934418413566
C;15;-5.370165429834742;4.370956358930426
C;20;-5.6944680359447375;4.136426989392143
C;25;-5.845865702896845;4.048721290498724
C;30;-5.91654430096969;4.029237196969638
C;5;-13.638677484472282;16.66690891933692
C;10;-22.439105145458598;22.681621137607838
C;15;-28.11762691597687;23.817195589831734
C;20;-31.781722655403428;23.098618982896458
C;25;-34.14599950960837;21.982487009688604
C;30;-35.67156146012712;21.050551021209888
C;5;-19.81595807679696;17.96861711137669
C;10;-34.746081660385244;28.061583832584944
C;15;-45.99502503016265;33.23349634636004
C;20;-54.47042218444403;35.46526283682856
C;25;-60.8561203397112;36.05623133812112
C;30;-65.66735693271039;35.83012025388524
T;5;-39.69753644056618;180.84826839639675
T;10;-76.66901160619454;342.00552499181157
T;15;-111.10162628418766;485.48217742302205
T;20;-143.16972603544127;613.1030931986285
T;25;-173.03568397311028;726.5231385410139
T;30;-200.85072292009136;827.2414607356311
T;5;-14.3806840647012;2543940.440948883
T;10;-28.761316266318318;5087867.075133466
T;15;-43.14189660543343;7631779.902648843
T;20;-57.522425081406254;10175678.92351256
T;25;-71.90290169569198;12719564.137897257
T;30;-86.28332644735929;15263435.545781707
T;5;-37.17901711096056;23.84761699468745
T;10;-65.19081248005386;37.24199440559971
T;15;-86.29574587463867;44.10487842131254
T;20;-102.19684067129856;47.06556345728549
T;25;-114.17720616236329;47.848672898794696
T;30;-123.2035756756668;47.54751149589958
