"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.55626673487E-001, +0.00000000000E+000
+4.20200000000E+005, +5.56565168802E-001, +0.00000000000E+000
+4.20400000000E+005, +5.57736173540E-001, +0.00000000000E+000
+4.20600000000E+005, +5.57932674998E-001, +0.00000000000E+000
+4.20800000000E+005, +5.58121166383E-001, +0.00000000000E+000
+4.21000000000E+005, +5.58733036141E-001, +0.00000000000E+000
+4.21200000000E+005, +5.58429077414E-001, +0.00000000000E+000
+4.21400000000E+005, +5.58661466523E-001, +0.00000000000E+000
+4.21600000000E+005, +5.59056829801E-001, +0.00000000000E+000
+4.21800000000E+005, +5.59346993272E-001, +0.00000000000E+000
+4.22000000000E+005, +5.59754300695E-001, +0.00000000000E+000
+4.22200000000E+005, +5.59542316301E-001, +0.00000000000E+000
+4.22400000000E+005, +5.59639428075E-001, +0.00000000000E+000
+4.22600000000E+005, +5.59739475732E-001, +0.00000000000E+000
+4.22800000000E+005, +5.60041336429E-001, +0.00000000000E+000
+4.23000000000E+005, +5.60414896865E-001, +0.00000000000E+000
+4.23200000000E+005, +5.60627522055E-001, +0.00000000000E+000
+4.23400000000E+005, +5.60511836547E-001, +0.00000000000E+000
+4.23600000000E+005, +5.60832228529E-001, +0.00000000000E+000
+4.23800000000E+005, +5.60588973856E-001, +0.00000000000E+000
+4.24000000000E+005, +5.61317865732E-001, +0.00000000000E+000
+4.24200000000E+005, +5.61587065849E-001, +0.00000000000E+000
+4.24400000000E+005, +5.61534328475E-001, +0.00000000000E+000
+4.24600000000E+005, +5.62209068597E-001, +0.00000000000E+000
+4.24800000000E+005, +5.62293559264E-001, +0.00000000000E+000
+4.25000000000E+005, +5.62144710695E-001, +0.00000000000E+000
+4.25200000000E+005, +5.62413347671E-001, +0.00000000000E+000
+4.25400000000E+005, +5.62455249273E-001, +0.00000000000E+000
+4.25600000000E+005, +5.62795731160E-001, +0.00000000000E+000
+4.25800000000E+005, +5.62912502862E-001, +0.00000000000E+000
+4.26000000000E+005, +5.62731778745E-001, +0.00000000000E+000
+4.26200000000E+005, +5.63727044883E-001, +0.00000000000E+000
+4.26400000000E+005, +5.63817944821E-001, +0.00000000000E+000
+4.26600000000E+005, +5.64211450595E-001, +0.00000000000E+000
+4.26800000000E+005, +5.63803493677E-001, +0.00000000000E+000
+4.27000000000E+005, +5.64224330021E-001, +0.00000000000E+000
