"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.57526371716E-001, +0.00000000000E+000
+4.20200000000E+005, +5.58908815972E-001, +0.00000000000E+000
+4.20400000000E+005, +5.60026165094E-001, +0.00000000000E+000
+4.20600000000E+005, +5.60490364760E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60838288851E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60917567927E-001, +0.00000000000E+000
+4.21200000000E+005, +5.61402375844E-001, +0.00000000000E+000
+4.21400000000E+005, +5.61352036352E-001, +0.00000000000E+000
+4.21600000000E+005, +5.60943276848E-001, +0.00000000000E+000
+4.21800000000E+005, +5.61828005695E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61180506336E-001, +0.00000000000E+000
+4.22200000000E+005, +5.61782715751E-001, +0.00000000000E+000
+4.22400000000E+005, +5.62040937548E-001, +0.00000000000E+000
+4.22600000000E+005, +5.62047497428E-001, +0.00000000000E+000
+4.22800000000E+005, +5.62716122656E-001, +0.00000000000E+000
+4.23000000000E+005, +5.63037140918E-001, +0.00000000000E+000
+4.23200000000E+005, +5.63148497430E-001, +0.00000000000E+000
+4.23400000000E+005, +5.63189341148E-001, +0.00000000000E+000
+4.23600000000E+005, +5.62890977920E-001, +0.00000000000E+000
+4.23800000000E+005, +5.63364050272E-001, +0.00000000000E+000
+4.24000000000E+005, +5.63825682114E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63583862666E-001, +0.00000000000E+000
+4.24400000000E+005, +5.64394933851E-001, +0.00000000000E+000
+4.24600000000E+005, +5.64424337370E-001, +0.00000000000E+000
+4.24800000000E+005, +5.65056266627E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64591575808E-001, +0.00000000000E+000
+4.25200000000E+005, +5.64797117655E-001, +0.00000000000E+000
+4.25400000000E+005, +5.65150330993E-001, +0.00000000000E+000
+4.25600000000E+005, +5.64977699029E-001, +0.00000000000E+000
+4.25800000000E+005, +5.65735990229E-001, +0.00000000000E+000
+4.26000000000E+005, +5.65471354551E-001, +0.00000000000E+000
+4.26200000000E+005, +5.65797983627E-001, +0.00000000000E+000
+4.26400000000E+005, +5.66049592134E-001, +0.00000000000E+000
+4.26600000000E+005, +5.65685998953E-001, +0.00000000000E+000
+4.26800000000E+005, +5.66811291136E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66477651151E-001, +0.00000000000E+000
+4.27200000000E+005, +5.67458079289E-001, +0.00000000000E+000
+4.27400000000E+005, +5.67517976353E-001, +0.00000000000E+000
+4.27600000000E+005, +5.67692963855E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67791386974E-001, +0.00000000000E+000
+4.28000000000E+005, +5.67847857850E-001, +0.00000000000E+000
+4.28200000000E+005, +5.67919011161E-001, +0.00000000000E+000
+4.28400000000E+005, +5.67851208149E-001, +0.00000000000E+000
+4.28600000000E+005, +5.68382468169E-001, +0.00000000000E+000
+4.28800000000E+005, +5.68384633804E-001, +0.00000000000E+000
+4.29000000000E+005, +5.69153278694E-001, +0.00000000000E+000
+4.29200000000E+005, +5.69003070757E-001, +0.00000000000E+000
+4.29400000000E+005, +5.69220064541E-001, +0.00000000000E+000
+4.29600000000E+005, +5.69232811152E-001, +0.00000000000E+000
+4.29800000000E+005, +5.69089944420E-001, +0.00000000000E+000
+4.30000000000E+005, +5.69826048544E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69351162832E-001, +0.00000000000E+000
+4.30400000000E+005, +5.70320580264E-001, +0.00000000000E+000
+4.30600000000E+005, +5.70399405574E-001, +0.00000000000E+000
