hash;group;sensor;time;y_eval;minimized_freq_mean;minimized_freq_std;minimized_freq_std_err;freq_with_unc
C-1-0;C;1;0;0.4818439484568478;0.4391201893199574;2.182922922461293e-05;6.903008391568819e-07;439120+/-22
C-1-5;C;1;5;0.4820870603642665;0.43911421875;0.0;0.0;439114.21875+/-0
C-1-10;C;1;10;0.4825282873452075;0.4391149835159733;8.063356258364913e-06;2.5498571361806257e-07;439115+/-8
C-1-15;C;1;15;0.4827403493969372;0.43911512171052636;8.754527110923358e-06;2.768424550821136e-07;439115+/-9
C-1-20;C;1;20;0.48253170935233847;0.4391043528948643;3.534634820940163e-05;1.1177496731112338e-06;439104+/-35
C-1-25;C;1;25;0.4824901921211333;0.4391142187500001;1.1102230246251565e-16;3.510833468576701e-18;439114.21875000012+/-0.00000000011
C-1-30;C;1;30;0.4823411896040931;0.43911421875;0.0;0.0;439114.21875+/-0
C-15-0;C;15;0;0.5003703028046007;0.43948860273397927;1.5200210905325141e-05;4.806728737575747e-07;439489+/-15
C-15-5;C;15;5;0.5012490375272501;0.4394837228710539;1.3251559143324893e-05;4.190510944133634e-07;439484+/-13
C-15-10;C;15;10;0.5012276793630187;0.43947708819803255;2.594499892670276e-05;8.204529049900472e-07;439477+/-26
C-15-15;C;15;15;0.5012761511696571;0.43944213802349325;3.1586765266645055e-05;9.988612215969415e-07;439442+/-32
C-15-20;C;15;20;0.5011991006233992;0.4394691354947647;3.3963408680320766e-05;1.0740172853294718e-06;439469+/-34
C-15-25;C;15;25;0.5009220232100892;0.4394504691639073;4.22391159073658e-05;1.335718126191257e-06;(4.3945+/-0.0004)e+05
C-15-30;C;15;30;0.5010932367404058;0.4394622991898148;3.827984961858356e-05;1.2105151328345186e-06;(4.3946+/-0.0004)e+05
C-2-0;C;2;0;0.5223222627436832;0.4406888843850915;4.088700939495885e-05;1.2929607640077302e-06;(4.4069+/-0.0004)e+05
C-2-5;C;2;5;0.5221216738376989;0.44067533164267025;3.1030173798669446e-05;9.812602539467456e-07;440675+/-31
C-2-10;C;2;10;0.5222705067283768;0.44065633105468743;4.164868579588926e-05;1.317047086677127e-06;(4.4066+/-0.0004)e+05
C-2-15;C;2;15;0.5228608653377782;0.4406421118079584;5.906583551899142e-05;1.8678257214088655e-06;(4.4064+/-0.0006)e+05
C-2-20;C;2;20;0.5230595365028118;0.4406232752799735;3.060143847449806e-05;9.677024525692234e-07;440623+/-31
C-2-25;C;2;25;0.5229231417016105;0.44064160173898725;4.300372031860838e-05;1.359897040676643e-06;(4.4064+/-0.0004)e+05
C-2-30;C;2;30;0.52348118814763;0.4406202590948974;4.5658473052927155e-05;1.443847693326715e-06;(4.4062+/-0.0005)e+05
T-4-0;T;4;0;0.48342046767136815;0.44024985855450904;4.243573576804557e-05;1.3419357921209877e-06;(4.4025+/-0.0004)e+05
T-4-5;T;4;5;0.4853086320609601;0.4401235375951777;2.697175144282855e-05;8.529216704327098e-07;440124+/-27
T-4-10;T;4;10;0.48535793474416433;0.44013223375108496;3.512897156515884e-05;1.1108756200519203e-06;440132+/-35
T-4-15;T;4;15;0.4857201534185779;0.4401140234375;5.551115123125783e-17;1.7554167342883504e-18;440114.02343750000+/-0.00000000006
T-4-20;T;4;20;0.4857533416772;0.44011549133003053;1.1137757647291693e-05;3.522068219240005e-07;440115+/-11
T-4-25;T;4;25;0.48681588936326947;0.44003483606557375;4.2192095475180725e-05;1.3342312095685536e-06;(4.4003+/-0.0004)e+05
T-4-30;T;4;30;0.4866152743658195;0.4400001701732674;3.820380376348122e-06;1.208110351747133e-07;440000+/-4
T-5-0;T;5;0;0.49247435212594515;0.4398309797643442;4.124763693188604e-05;1.304364808044394e-06;(4.3983+/-0.0004)e+05
T-5-5;T;5;5;0.4924419975644229;0.43982793928416947;4.024098973840381e-05;1.2725318287281937e-06;(4.3983+/-0.0004)e+05
T-5-10;T;5;10;0.4929728898029254;0.4397955807877813;1.8975615613979936e-05;6.000616534403104e-07;439796+/-19
T-5-15;T;5;15;0.49296747448741784;0.43978793162448343;2.984977240156664e-05;9.439326842658482e-07;439788+/-30
T-5-20;T;5;20;0.4928924568966606;0.43979472190323793;2.062818361863929e-05;6.523204422707434e-07;439795+/-21
T-5-25;T;5;25;0.49292657378311033;0.4397977880230686;1.3605606206363408e-05;4.3024704559431257e-07;439798+/-14
T-5-30;T;5;30;0.49319615774304604;0.439714187546922;2.7163457386021763e-06;8.589839446475239e-08;439714.2+/-2.7
T-6-0;T;6;0;0.4949086908195051;0.4406132595820492;3.106819392097768e-05;9.824625557808677e-07;440613+/-31
T-6-5;T;6;5;0.4954028636433721;0.4405976671922063;1.3975229997392778e-05;4.4193557616470184e-07;440598+/-14
T-6-10;T;6;10;0.4956278448879592;0.44056859525737313;4.142785842053143e-05;1.3100639119186502e-06;(4.4057+/-0.0004)e+05
T-6-15;T;6;15;0.4957761764051972;0.44051584041072317;1.2628962273505638e-05;3.9936285268616145e-07;440516+/-13
T-6-20;T;6;20;0.4958735645702357;0.44051404691189483;2.955128041771123e-06;9.344935389429952e-08;440514.0+/-3.0
T-6-25;T;6;25;0.49626127352982974;0.44050531341958793;2.5851600952934287e-05;8.174994017305168e-07;440505+/-26
T-6-30;T;6;30;0.49633809698097164;0.4405116711399973;1.3803309149050094e-05;4.3649896158438917e-07;440512+/-14
