group;time;shift_value;shift_std
C;5;-4.815371970296837;5.671395234969239
C;10;-6.764381170796696;5.762849046001484
C;15;-7.553237543092109;5.309917836175209
C;20;-7.872525094950106;5.120569002000159
C;25;-8.001755895849783;5.082621887929861
C;30;-8.054061724164058;5.084346863731531
C;5;-14.093305981950834;16.72818215292901
C;10;-23.048621242167428;22.480796335645913
C;15;-28.739100928884;23.37314482389945
C;20;-32.35500479437178;22.525781274786695
C;25;-34.65266008587787;21.385031954758634
C;30;-36.11266013991553;20.487751816679705
C;5;-20.59757114754757;13.828157115393475
C;10;-36.02486812166171;21.476413997549674
C;15;-47.579700981325004;25.305541101524202
C;20;-56.23411157832015;26.88430099795103
C;25;-62.71614586585201;27.231338992457818
C;30;-67.57110023061978;26.984420720962493
T;5;-39.122684068395756;206.27968317709664
T;10;-75.90059696132084;393.0958342159302
T;15;-110.47426972858375;562.1790515244103
T;20;-142.97581085999263;715.1205262128323
T;25;-173.5294110813993;853.3822351134462
T;30;-202.2518178965547;978.3064151196655
T;5;-14.70044297730783;57818.34062892878
T;10;-29.399560723337345;115628.86229239785
T;15;-44.09735335764708;173431.5660183781
T;20;-58.79382099956274;231226.45283473714
T;25;-73.48896376858465;289013.5237691681
T;30;-88.18278178415494;346792.7798492609
T;5;-37.68943826830946;22.507693192361998
T;10;-65.57942220475525;34.566565899875826
T;15;-86.21786203619558;40.312703185915886
T;20;-101.49019778391812;42.44495185599324
T;25;-112.79164503928041;42.679498661179146
T;30;-121.15465592232067;42.0630907521078
